id,work_id,number,sort_number,sc_count,title,prev_episode_id,aasm_state,fetch_syobocal,raw_number
76060,4624,第1話,10,1,なんだかホントに入社した気分です！,,published,true,1
76186,4624,第2話,20,2,これが大人の飲み会……,76060,published,true,2
76297,4624,第3話,30,3,遅刻したらどうなるんだろう,76186,published,true,3
76432,4624,第4話,40,4,初めての…お給料…,76297,published,true,4
76605,4624,第5話,50,5,そんなに泊まり込むんですか？,76432,published,true,5
76709,4624,第6話,60,6,発売……中止とか？,76605,published,true,6
76832,4624,第7話,70,7,新人の教育はしっかりしてください,76709,published,true,7
76925,4624,第8話,80,8,夏休みだぁああ!!,76832,published,true,8
77024,4624,第9話,90,9,出勤しちゃいけないんですか？,76925,published,true,9
77120,4624,第10話,100,10,正社員ってお給料を安くするための法の抜け穴…,77024,published,true,10
77223,4624,第11話,110,11,リーク画像が昨日、ネットに出てましたよ！,77120,published,true,11
77321,4624,第12話,120,12,ひとつ夢が叶いました！,77223,published,true,12
76064,4700,第1話,10,1,制服とどなべごはん,,published,false,1
76160,4700,第2話,20,2,豚汁とみせあかり,76064,published,true,2
76306,4700,第3話,30,3,つむぎとおまたせのハンバーグ,76160,published,true,3
76441,4700,第4話,40,4,きらいな野菜とコロコログラタン,76306,published,true,4
76614,4700,第5話,50,5,お休みの日のとくべつドーナッツ,76441,published,true,5
76719,4700,第6話,60,6,おともだちとギョーザパーティー,76614,published,true,6
76840,4700,第7話,70,7,五平餅とだいぼうけん,76719,published,true,7
76933,4700,第8話,80,8,明日もおいしいイカと里芋の煮物,76840,published,true,8
77034,4700,第9話,90,9,うちのおうちカレー,76933,published,true,9
77130,4700,第10話,100,10,夏休みとねことアジ,77034,published,true,10
77232,4700,第11話,110,11,おゆうぎ会とさつまいもクレープ,77130,published,true,11
77331,4700,第12話,120,12,あいじょーたっぷりお好み焼き,77232,published,true,12
76123,4618,第1話,10,1,問題がある人たち／さよなら内巻くん,,published,true,1
76228,4618,第2話,20,2,美術部部長殺人事件／良い子惡い子迷子の子／ラブレターパニック,76123,published,true,2
76380,4618,第3話,30,3,さがしものはどこへいった？／ショートボブ／缶接キッス,76228,published,true,3
76517,4618,第4話,40,4,美術部へようこそ／コレさんぽ／少しずつ、ちょっとずつ,76380,published,true,4
76661,4618,第5話,50,5,勘違いトレイン／ハトと人魚とプール掃除,76517,published,true,5
76782,4618,第6話,60,6,謎の美少女転校生／気になる2人,76661,published,true,6
76879,4618,第7話,70,7,はじめての共同作業…？／マスター伊万莉,76782,published,true,7
76978,4618,第8話,80,8,秘密の部屋／れっつ とれじゃーはんと！,76879,published,true,8
77077,4618,第9話,90,9,魔導書を追え！／挑戦者ふたたび／もえさんぽ,76978,published,true,9
77176,4618,第10話,100,10,思い出のターコイズブルー／宇佐美塾／バスターかおり,77077,published,true,10
77271,4618,第11話,110,11,団結！空き缶！文化祭！,77176,published,true,11
77377,4618,第12話,120,12,これからさきも,77271,published,true,12
77468,4618,第13話,130,13,,,hidden,true,13
76115,4840,,10,,君の名は。,,published,false,
76065,4497,第1話,10,1,世界か、自分か,,published,false,1
76133,4497,第2話,20,2,青春が始まる場所,76065,published,true,2
76280,4497,第3話,30,3,ウェルカム、超常現象,76133,published,true,3
76407,4497,第4話,40,4,いつかあの日に帰るまで,76280,published,true,4
76582,4497,第5話,50,5,アサヒハルカ,76407,published,true,5
76685,4497,第6話,60,6,オカ研活動記録,76582,published,true,6
76808,4497,第7話,70,7,失われた場所,76685,published,true,7
76903,4497,第8話,80,8,我が名は篝ちゃん,76808,published,true,8
76999,4497,第9話,90,9,回り始める運命,76903,published,true,9
77098,4497,第10話,100,10,ただ、友として,76999,published,true,10
77202,4497,第11話,110,11,カウントダウン,77098,published,true,11
77299,4497,第12話,120,12,滅びの歌,77202,published,true,12
77403,4497,第13話,130,13,君とかわした約束,77299,published,true,13
76046,4772,#1,10,1,輝きたい!!,,published,false,1
76143,4772,#2,20,2,転校生をつかまえろ！,76046,published,false,2
76234,4772,#3,30,3,ファーストステップ,76143,published,true,3
76405,4772,#4,40,4,ふたりのキモチ,76234,published,true,4
76569,4772,#5,50,5,ヨハネ堕天,76405,published,true,5
76675,4772,#6,60,6,PVを作ろう,76569,published,true,6
76797,4772,#7,70,7,TOKYO,76675,published,true,7
76894,4772,#8,80,8,くやしくないの？,76797,published,true,8
76989,4772,#9,90,9,未熟DREAMER,76894,published,true,9
77090,4772,#10,100,10,シャイ煮はじめました,76989,published,true,10
77190,4772,#11,110,11,友情ヨーソロー,77090,published,true,11
77287,4772,#12,120,12,はばたきのとき,77190,published,true,12
77391,4772,#13,130,13,サンシャイン!!,77287,published,true,13
76045,4792,report 1,10,1,海崎新太(27)無職,,published,false,1
76139,4792,report 2,20,2,コミュニケーション能力0点,76045,published,true,2
76231,4792,report 3,30,3,オッサンなんですから,76139,published,true,3
76389,4792,report 4,40,4,堕ちる,76231,published,true,4
76567,4792,report 5,50,5,オーバーラップ,76389,published,true,5
76634,4792,report 6,60,6,初めましてじゃないんだよ,76567,published,true,6
76635,4792,report 7,70,7,被験者001→002,76634,published,true,7
76636,4792,report 8,80,8,亀裂,76635,published,true,8
76637,4792,report 9,90,9,リベンジ,76636,published,true,9
76638,4792,report 10,100,10,みんなのワガママ,76637,published,true,10
76639,4792,report 11,110,11,過去トリップ,76638,published,true,11
76640,4792,report 12,120,12,ダブルパニック,76639,published,true,12
76641,4792,report 13,130,13,告白,76640,published,true,13
77144,4278,,10,,聲の形,,published,false,
76066,4645,LETTER01,10,1,"",,published,false,1
76256,4645,LETTER02,20,2,"",76066,published,false,2
76303,4645,LETTER03,30,3,"",76256,published,false,3
76438,4645,LETTER04,40,4,"",76303,published,false,4
76610,4645,LETTER05,50,5,"",76438,published,false,5
76713,4645,LETTER06,60,6,"",76610,published,false,6
76836,4645,LETTER07,70,7,"",76713,published,false,7
76929,4645,LETTER08,80,8,"",76836,published,false,8
77030,4645,LETTER09,90,9,"",76929,published,false,9
77125,4645,LETTER10,100,10,"",77030,published,false,10
77228,4645,LETTER11,110,11,"",77125,published,false,11
77326,4645,LETTER12,120,12,"",77228,published,false,12
77429,4645,LETTER13,130,13,LAST LETTER,77326,published,true,13
76042,4650,第1話,10,1,その箱に詰めるもの,,published,true,1
76131,4650,第2話,20,2,交錯する光と影,76042,published,true,2
76167,4650,第3話,30,3,『玉』(ぎょく)の世代,76131,published,true,3
76404,4650,第4話,40,4,追跡者,76167,published,true,4
76561,4650,第5話,50,5,一口目の秘密,76404,published,true,5
76672,4650,第6話,60,6,朝はまた来る,76561,published,true,6
76794,4650,第7話,70,7,喰らいあう獣,76672,published,true,7
76891,4650,第8話,80,8,旬を巡る戦い,76794,published,true,8
76986,4650,第9話,90,9,秋を告げる刀,76891,published,true,9
77087,4650,第10話,100,10,新たなる『玉』(ぎょく),76986,published,true,10
77187,4650,第11話,110,11,スタジエール,77087,published,true,11
77284,4650,第12話,120,12,魔術師再び,77187,published,true,12
77388,4650,第13話,130,13,威風堂々,77284,published,true,13
77587,4826,#1,10,1,まなつのファンファーレ,,published,true,1
77817,4826,#2,20,2,,77587,published,true,2
77614,4773,第1話,10,1,桐山零／河沿いの町,,published,true,1
77847,4773,第2話,20,2,,77614,published,true,2
77828,4762,#1,10,1,,,published,true,1
77551,4893,第1話,10,1,夢と魔法の世界へようこそ！,,published,true,1
77692,4893,第2話,20,2,マジカルキャンディーを集めよう！,77551,published,true,2
77864,4893,第3話,30,3,,77692,published,true,3
77485,4875,#1,10,1,たたかいのはじまり。　Der Anfang der Schlacht,,published,true,1
77628,4875,#2,20,2,傷痕と、銃声と　Mit Narben und Schüssen,77485,published,true,2
77859,4875,#3,30,3,,77628,published,true,3
77486,4951,#1,10,1,アルバイトは人生を変えてくれる,,published,true,1
77629,4951,#2,20,2,人生そんなに甘くない,77486,published,true,2
77860,4951,#3,30,3,君にしか頼めない,77629,published,true,3
77651,4920,#1,10,1,たくさんの人,,published,true,1
77870,4920,#2,20,2,運命を変える力なんて無いから,77651,published,true,2
77595,4614,#1,10,1,やさぐれ千歳と腐った業界,,published,true,1
77837,4614,#2,20,2,天狗な千歳と声なき悲鳴,77595,published,true,2
77566,4623,第1話,10,1,スタート地点,,published,true,1
77708,4623,第2話,20,2,たのしい創作,77566,published,true,2
77893,4623,第3話,30,3,,77708,published,true,3
32548,4284,,10,,虐殺器官,,published,false,
76155,4709,,10,,劇場版 ソードアート・オンライン -オーディナル・スケール-,,published,false,
77154,4945,,10,,傷物語 Ⅲ 冷血篇,,published,false,
64563,4565,第一話,10,1,走馬灯,,published,true,1
65454,4565,第二話,20,2,掌,64563,published,true,2
67181,4565,第三話,30,3,痣,65454,published,true,3
68295,4565,第四話,40,4,達成,67181,published,true,4
69486,4565,第五話,50,5,逃走,68295,published,true,5
71518,4565,第六話,60,6,死神,69486,published,true,6
73001,4565,第七話,70,7,暴走,71518,published,true,7
73132,4565,第八話,80,8,螺旋,73001,published,true,8
73234,4565,第九話,90,9,終幕,73132,published,true,9
73336,4565,第十話,100,10,歓喜,73234,published,true,10
73508,4565,第十一話,110,11,未来,73336,published,true,11
73701,4565,第十二話,120,12,宝物,73508,published,true,12
3478,2108,第1話,1,,夢の中で会った、ような・・・・・,,published,false,
3479,2108,第2話,2,,それはとっても嬉しいなって,3478,published,false,
3480,2108,第3話,3,,もう何も恐くない,3479,published,false,
3481,2108,第4話,4,,奇跡も、魔法も、あるんだよ,3480,published,false,
3482,2108,第5話,5,,後悔なんて、あるわけない,3481,published,false,
3483,2108,第6話,6,,こんなの絶対おかしいよ,3482,published,false,
3484,2108,第7話,7,,本当の気持ちと向き合えますか？,3483,published,false,
3485,2108,第8話,8,,あたしって、ほんとバカ,3484,published,false,
3486,2108,第9話,9,,そんなの、あたしが許さない,3485,published,false,
3487,2108,第10話,10,,もう誰にも頼らない,3486,published,false,
3488,2108,第11話,11,,最後に残った道しるべ,3487,published,false,
3489,2108,第12話,12,,わたしの、最高の友達,3488,published,false,
4121,43,第1話,1,,超平和バスターズ,,published,false,
4122,43,第2話,2,,ゆうしゃめんま,4121,published,false,
4123,43,第3話,3,,めんまを探そうの会,4122,published,false,
4124,43,第4話,4,,白の、リボンのワンピース,4123,published,false,
4125,43,第5話,5,,トンネル,4124,published,false,
4126,43,第6話,6,,わすれてわすれないで,4125,published,false,
4127,43,第7話,7,,ほんとのお願い,4126,published,false,
4128,43,第8話,8,,I wonder,4127,published,false,
4129,43,第9話,9,,みんなとめんま,4128,published,false,
4130,43,第10話,10,,花火,4129,published,false,
4131,43,最終話,11,,あの夏に咲く花,4130,published,false,
6953,3316,,1,,サマーウォーズ,,published,false,
65440,4547,第1話,10,1,この自称女神と異世界転生を！,,published,true,1
66422,4547,第2話,20,2,この中二病に爆焔を！,65440,published,true,2
68284,4547,第3話,30,3,この右手にお宝(ぱんつ)を！,66422,published,true,3
69233,4547,第4話,40,4,この強敵に爆裂魔法を！,68284,published,true,4
69611,4547,第5話,50,5,この魔剣にお値段を！,69233,published,true,5
72103,4547,第6話,60,6,このろくでもない戦いに決着を！,69611,published,true,6
73107,4547,第7話,70,7,この凍えそうな季節に二度目の死を！,72103,published,true,7
73212,4547,第8話,80,8,この冬を越せない俺達に愛の手を！,73107,published,true,8
73314,4547,第9話,90,9,この素晴らしい店に祝福を！,73212,published,true,9
73481,4547,第10話,100,10,この理不尽な要塞に終焔を！,73314,published,true,10
73575,4547,第11話,110,11,,,hidden,true,11
74635,4547,第12話,120,12,,,hidden,true,12
76059,4547,第11話,130,,この素晴らしいチョーカーに祝福を！,73481,published,false,""
64566,4552,第1話,10,1,うまい棒とポテフと…／コーヒー牛乳キャンディとヤングドーナツと…,,published,true,1
65458,4552,第2話,20,2,きなこ棒と生いきビールと…／笛ラムネとめんこと…,64566,published,true,2
67185,4552,第3話,30,3,ブタメンとくるくるぼーゼリーと…／ボンタンアメとセブンネオンと…,65458,published,true,3
68300,4552,第4話,40,4,ふがしとふがしと…／グリコとグリコと…,67185,published,true,4
69491,4552,第5話,50,5,ビンラムネとベビースターラーメンと…／ヤッターめんとすっぱいぶどうにご用心！と…,68300,published,true,5
71513,4552,第6話,60,6,超ひもQとおはじきとときどきまけんグミ…／ヨーグレットとココナツと…,69491,published,true,6
73126,4552,第7話,70,7,夏祭りとほたると…／夏祭りとサヤと…,71513,published,true,7
73229,4552,第8話,80,8,超怖い話ガムと台風と…／けん玉とプチプチ占いチョコと…,73126,published,true,8
73331,4552,第9話,90,9,わたパチとうんチョコと…／さくら大根とたまごアイスと…,73229,published,true,9
73504,4552,第10話,100,10,駄菓子じゃねえか！,73331,published,true,10
73702,4552,第11話,110,11,コーラガムとヨウと…／都こんぶとラムネと…,73504,published,true,11
74648,4552,第12話,120,12,食べるんですHiとさくらんぼの詩と…／森永ミルクキャラメルとサクマ式ドロップスと…,73702,published,true,12
4676,1696,第壹話,1,1,ひたぎクラブ 其ノ壹,,published,false,1
4677,1696,第貳話,2,2,ひたぎクラブ 其ノ貳,4676,published,false,2
4678,1696,第參話,3,3,まよいマイマイ 其ノ壹,4677,published,false,3
4679,1696,第肆話,4,4,まよいマイマイ 其ノ貳,4678,published,false,4
4680,1696,第伍話,5,5,まよいマイマイ 其ノ參,4679,published,false,5
4681,1696,総集編,6,6,化物語スペシャル,4680,published,false,6
4682,1696,第陸話,7,7,するがモンキー 其ノ壹,4681,published,false,7
4683,1696,第漆話,8,8,するがモンキー 其ノ貮,4682,published,false,8
4684,1696,第捌話,9,9,するがモンキー 其ノ參,4683,published,false,9
4685,1696,第玖話,10,10,なでこスネイク 其ノ壹,4684,published,false,10
4686,1696,第拾話,11,11,なでこスネイク 其ノ貮,4685,published,false,11
4687,1696,第拾壹話,12,12,つばさキャット 其ノ壹,4686,published,false,12
4688,1696,第拾貳話,13,13,つばさキャット 其ノ貮,4687,published,false,13
4689,1696,第拾參話,14,14,つばさキャット 其ノ參,4688,published,false,14
4690,1696,第拾肆話,15,15,つばさキャット 其ノ肆,4689,published,false,15
4691,1696,第拾伍話,16,16,つばさキャット 其ノ伍,4690,published,false,16
69569,1696,#7,170,,するがモンキー 其ノ貳,,hidden,true,
20455,4306,第一話,10,1,我他人を思う,,published,false,1
20585,4306,第二話,20,2,絶望の旋律,20455,published,false,2
20722,4306,第三話,30,3,恋と炎,20585,published,false,3
20914,4306,第四話,40,4,刹那の本気,20722,published,false,4
21114,4306,第五話,50,5,いつか聴いた音,20914,published,false,5
21296,4306,第六話,60,6,気づかなかった幸せ,21114,published,false,6
21645,4306,第七話,70,7,逃避行の果てに,21296,published,false,7
21994,4306,第八話,80,8,邂逅,21645,published,false,8
22146,4306,第九話,90,9,ここにない世界,21994,published,false,9
22324,4306,第十話,100,10,略奪,22146,published,false,10
22344,4306,第十一話,110,11,シャーロット,22324,published,false,11
22345,4306,第十二話,120,12,約束,22344,published,false,12
22346,4306,第十三話,130,13,これからの記録,22345,published,false,13
74666,4306,特別篇,140,,強い者たち,22346,published,false,""
6666,668,#1,1,1,廃部!,,published,false,1
6667,668,#2,2,2,楽器!,6666,published,false,2
6668,668,#3,3,3,特訓!,6667,published,false,3
6669,668,#4,4,4,合宿!,6668,published,false,4
6670,668,#5,5,5,顧問!,6669,published,false,5
6671,668,#6,6,6,学園祭!,6670,published,false,6
6672,668,#7,7,7,クリスマス!,6671,published,false,7
6673,668,#8,8,8,新歓!,6672,published,false,8
6674,668,#9,9,9,新入部員!,6673,published,false,9
6675,668,#10,10,10,また合宿!,6674,published,false,10
6676,668,#11,11,11,ピンチ!,6675,published,false,11
6677,668,#12,12,12,軽音!,6676,published,false,12
6678,668,#13,13,13,冬の日!,6677,published,false,13
6679,668,#14,14,14,ライブハウス!,6678,published,false,14
74719,668,#1,150,,廃部！,,hidden,false,""
3552,997,#01,10,1,二千年後の君へ ―シガンシナ陥落 (1)―,,published,false,1
3553,997,#02,20,2,その日 ―シガンシナ陥落 (2)―,3552,published,false,2
3554,997,#03,30,3,絶望の中で鈍く光る ―人類の再起 (1)―,3553,published,false,3
3555,997,#3.5,35,,イルゼの手帳 ―ある調査兵団員の手記―,3554,published,false,
3556,997,#04,50,4,解散式の夜 ―人類の再起 (2)―,3555,published,false,4
3557,997,#05,60,5,初陣 ―トロスト区攻防戦 (1)―,3556,published,false,5
3558,997,#06,70,6,少女が見た世界 ―トロスト区攻防戦 (2)―,3557,published,false,6
3559,997,#07,80,7,小さな刃 ―トロスト区攻防戦 (3)―,3558,published,false,7
3560,997,#08,90,8,心臓の鼓動が聞こえる ―トロスト区攻防戦 (4)―,3559,published,false,8
3561,997,#09,100,9,左腕の行方 ―トロスト区攻防戦 (5)―,3560,published,false,9
